Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1998-07-01,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1993-07-29,
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,2011-09-26,
MSI,Motorola Solutions,Information Technology,Communications Equipment,1957-03-04,
MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,
NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,
NEM,Newmont,Materials,Gold,1969-06-30,
NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,
NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,
NI,NiSource,Utilities,Multi-Utilities,2000-11-02,
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2022-02-15,
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,1957-03-04,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1998-01-30,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1957-03-04,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,
NUE,Nucor,Materials,Steel,1985-04-30,
NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,2021-03-22,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,2009-03-27,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1957-03-04,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2019-12-09,
OMC,Omnicom Group,Communication Services,Advertising,1997-12-31,
ON,ON Semiconductor,Information Technology,Semiconductors,2022-06-21,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,2010-03-15,
ORCL,Oracle Corporation,Information Technology,Application Software,1989-08-31,
OGN,Organon & Co.,Health Care,Pharmaceuticals,2021-06-03,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,2020-04-03,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,1980-12-31,
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2017-07-26,
PARA,Paramount Global,Communication Services,Movies & Entertainment,1994-09-30,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,1985-11-30,
PAYX,Paychex,Industrials,Human Resource & Employment Services,1998-10-01,
PAYC,Paycom,Information Technology,Application Software,2020-01-28,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,2015-07-20,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2012-10-01,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04,
PFE,Pfizer,Health Care,Pharmaceuticals,1957-03-04,
PCG,PG&E Corporation,Utilities,Multi-Utilities,2022-10-03,
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,
PNW,Pinnacle West,Utilities,Multi-Utilities,1999-10-04,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,
PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30,
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,
PPL,PPL Corporation,Utilities,Electric Utilities,2001-10-01,
PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22,
